id x y open_time close_time duration demand_box demand_w skill day
103867_day2 736.312 206.096 1800 2580 9 9000 72765 x 2
103868_day2 715.133 240.089 1800 2879 9 9000 84660 x 2
103871_day2 741.398 217.538 1740 2460 6 3000 25253 x 2
104245_day2 722.469 170.691 1800 2640 10.2 11000 85300 x 2
104280_day2 714.971 239.986 1800 2700 11.4 13000 94783 x 2
104307_day2 733.886 174.02 1830 2460 6 4000 29222 x 2
104338_day2 719.852 256.022 1860 2490 6.6 5000 37302 x 2
104465_day2 794.925 188.844 1740 2700 16.8 22000 155227 x 2
104508_day2 721.896 206.021 1800 2700 6 4000 39104 x 2
104621_day2 712.986 168.749 1860 2760 9 9000 70214 x 2
104871_day2 737.802 236 1800 2640 7.8 7000 51709 x 2
104967_day2 751.231 199.885 1740 2700 9.6 10000 71906 x 2
105067_day2 732.932 217.308 1860 2640 7.8 7000 50161 x 2
105187_day2 727.43 190.319 1800 2640 10.2 11000 85845 x 2
105392_day2 792.759 220.026 1830 2610 8.4 8000 58816 x 2
105398_day2 766.228 237.491 1800 2580 7.8 7000 54763 x 2
105471_day2 733.253 178.29 1800 2460 6 4000 29008 x 2
105499_day2 725.643 250.993 1800 2520 14.4 18000 129650 x 2
105584_day2 792.025 219.772 1800 2640 9 9000 63886 x 2
105590_day2 723.121 204.901 1800 2760 8.4 8000 64747 x 2
105750_day2 802.857 202.883 1800 2700 7.2 6000 43617 x 2
105753_day2 747.433 239.158 1830 2490 7.2 6000 43955 x 2
105784_day2 797.328 208.737 1800 2520 7.8 7000 50424 x 2
105799_day2 758.971 240.054 1800 2640 9 9000 66712 x 2
105803_day2 737.78 162.677 1770 2520 8.4 8000 63745 x 2
105825_day2 762.595 211.525 1860 2580 12.6 15000 101580 x 2
105836_day2 734.401 225.092 1830 2580 10.2 11000 83046 x 2
105838_day2 722.655 247.328 1710 2640 9 9000 69277 x 2
105859_day2 719.857 256.054 1800 2700 9 9000 70428 x 2
105942_day2 790.36 219.547 1800 2640 11.4 13000 100240 x 2
105954_day2 761.98 212.593 1710 2520 11.4 13000 93776 x 2
105957_day2 744.415 186.691 1800 2700 12.6 15000 114259 x 2
105963_day2 794.858 188.852 1770 2640 7.2 6000 46337 x 2
105987_day2 738.045 204.967 1830 2640 8.4 8000 61850 x 2
106051_day2 741.684 182.338 1800 2730 15 19000 134117 x 2
106089_day2 731.681 214.319 1800 2700 9 9000 69417 x 2
106094_day2 744.22 166.859 1800 2580 7.2 6000 41543 x 2
106153_day2 731.475 171.495 1740 2580 7.8 7000 51421 x 2
106154_day2 726.751 168.462 1740 2580 7.8 7000 57764 x 2
106299_day2 744.842 167.778 1710 2640 9 9000 70925 x 2
106328_day2 763.925 169.912 1920 2640 6 3000 28076 x 2
106380_day2 727.248 252.326 1860 2310 8.4 8000 58978 x 2
